rho,r,ratio
0.0,0.0,0.9245036091385455
0.0,0.5,0.9449005953541576
0.0,1.0,0.9510254256751075
0.0,1.5,0.9436298114796761
0.0,2.0,0.9531560433620603
0.3,0.0,0.9230068698940772
0.3,0.5,1.0087852113756872
0.3,1.0,0.9359995481585683
0.3,1.5,0.9297146834097308
0.3,2.0,0.9458435260878449
0.6,0.0,0.9504851313245773
0.6,0.5,1.0586296287465156
0.6,1.0,0.9837707260652546
0.6,1.5,0.9360776383454725
0.6,2.0,0.9217122844241628
0.9,0.0,0.9878596631762288
0.9,0.5,1.097279823941375
0.9,1.0,1.092863826908898
0.9,1.5,1.106305124348071
0.9,2.0,1.1041221337175173
